Ligand_1,Ligand_2,Exp. ddG,Pred. ddG,SEM,STD,crashes,target,ForceField
30,35,0.17,0.611,0.86,1.3483,0,cdk8,OpenFF 2.0
31,35,0.41,1.191,1.149,1.8294,0,cdk8,OpenFF 2.0
36,35,-0.24,0.036,0.681,1.2542,0,cdk8,OpenFF 2.0
35,44,0.0,2.577,0.86,1.0568,0,cdk8,OpenFF 2.0
35,19,0.79,3.282,0.586,1.1685,0,cdk8,OpenFF 2.0
30,42,0.17,3.014,1.033,0.7433,0,cdk8,OpenFF 2.0
30,13,0.41,3.147,1.033,3.8203,0,cdk8,OpenFF 2.0
38,34,0.19,0.431,0.421,0.7877,0,cdk8,OpenFF 2.0
38,43,-0.55,2.376,0.427,0.9242,0,cdk8,OpenFF 2.0
19,32,1.18,1.265,1.342,0.8559,0,cdk8,OpenFF 2.0
21,32,0.21,0.036,1.342,1.9759,0,cdk8,OpenFF 2.0
33,19,0.38,1.372,1.96,1.0337,0,cdk8,OpenFF 2.0
19,24,0.39,2.393,0.081,1.2388,0,cdk8,OpenFF 2.0
20,19,-0.03,2.071,0.075,1.2331,0,cdk8,OpenFF 2.0
25,19,-0.93,-4.431,1.96,2.6888,1,cdk8,OpenFF 2.0
19,17,1.73,5.426,0.586,1.464,0,cdk8,OpenFF 2.0
29,33,-1.85,-2.507,1.96,1.7374,0,cdk8,OpenFF 2.0
20,33,-0.41,0.699,0.075,2.0573,0,cdk8,OpenFF 2.0
43,44,0.41,-0.454,0.427,0.9193,0,cdk8,OpenFF 2.0
42,44,0.0,0.174,0.86,1.3381,0,cdk8,OpenFF 2.0
42,13,0.24,0.133,1.033,1.7901,0,cdk8,OpenFF 2.0
42,45,0.33,1.157,0.462,1.3206,0,cdk8,OpenFF 2.0
45,44,-0.33,-0.983,0.462,1.1568,0,cdk8,OpenFF 2.0
44,18,0.55,3.424,0.586,1.3893,0,cdk8,OpenFF 2.0
27,24,-1.87,-2.194,1.241,3.0233,4,cdk8,OpenFF 2.0
25,24,-0.54,-2.038,1.241,4.4257,0,cdk8,OpenFF 2.0
27,25,-1.33,-0.156,1.241,3.2679,0,cdk8,OpenFF 2.0
29,25,-0.54,3.297,1.96,3.4531,0,cdk8,OpenFF 2.0
28,26,-3.99,-0.839,1.006,2.4554,0,cdk8,OpenFF 2.0
28,21,-3.53,-0.524,1.342,1.12,1,cdk8,OpenFF 2.0
18,17,1.97,2.706,0.586,0.7961,0,cdk8,OpenFF 2.0
18,15,3.27,-0.762,0.456,0.8766,0,cdk8,OpenFF 2.0
17,15,1.3,-3.468,0.456,1.7951,0,cdk8,OpenFF 2.0
15,16,-1.6,-0.027,0.497,1.2062,0,cdk8,OpenFF 2.0
15,14,-0.65,4.037,0.497,2.859,4,cdk8,OpenFF 2.0
16,14,0.95,4.063,0.497,2.1966,1,cdk8,OpenFF 2.0
23,21,-0.74,0.99,0.208,1.7066,0,cdk8,OpenFF 2.0
21,22,-0.52,-2.82,0.208,1.1449,0,cdk8,OpenFF 2.0
23,22,-1.26,-1.83,0.208,0.993,0,cdk8,OpenFF 2.0
CHEMBL3402745-200,CHEMBL3402744-300,0.24,1.177,0.878,0.728,0,cmet,OpenFF 2.0
CHEMBL3402755-4200,CHEMBL3402745-200,-1.8,-0.953,0.878,1.0521,0,cmet,OpenFF 2.0
CHEMBL3402755-4200,CHEMBL3402744-300,-1.56,0.223,0.878,1.127,0,cmet,OpenFF 2.0
CHEMBL3402755-4200,CHEMBL3402753-200,-1.8,0.79,0.85,0.5661,0,cmet,OpenFF 2.0
CHEMBL3402755-4200,CHEMBL3402752-30000,1.17,1.96,0.85,0.6966,0,cmet,OpenFF 2.0
CHEMBL3402753-200,CHEMBL3402754-40,-0.95,-1.305,0.695,0.5315,0,cmet,OpenFF 2.0
CHEMBL3402753-200,CHEMBL3402749-500,0.54,1.675,0.695,0.794,0,cmet,OpenFF 2.0
CHEMBL3402753-200,CHEMBL3402750-400,0.41,-0.35,0.85,0.7606,0,cmet,OpenFF 2.0
CHEMBL3402753-200,CHEMBL3402748-5300,1.94,2.522,0.416,1.0823,0,cmet,OpenFF 2.0
CHEMBL3402761-1,CHEMBL3402753-200,3.14,7.232,0.156,0.9372,0,cmet,OpenFF 2.0
CHEMBL3402761-1,CHEMBL3402754-40,2.19,5.928,0.156,1.1404,0,cmet,OpenFF 2.0
CHEMBL3402754-40,CHEMBL3402748-5300,2.89,3.828,0.416,1.2969,0,cmet,OpenFF 2.0
CHEMBL3402754-40,CHEMBL3402747-3400,2.63,4.405,0.695,1.0308,0,cmet,OpenFF 2.0
CHEMBL3402749-500,CHEMBL3402747-3400,1.14,1.425,0.695,0.6512,0,cmet,OpenFF 2.0
CHEMBL3402750-400,CHEMBL3402751-2100,0.98,2.58,0.85,0.7058,0,cmet,OpenFF 2.0
CHEMBL3402752-30000,CHEMBL3402751-2100,-1.58,1.06,0.85,0.6201,0,cmet,OpenFF 2.0
CHEMBL3402756-2-7,CHEMBL3402757-6-5,0.52,0.411,0.456,1.422,0,cmet,OpenFF 2.0
CHEMBL3402756-2-7,CHEMBL3402743-42,1.63,4.44,0.0,5.9427,5,cmet,OpenFF 2.0
CHEMBL3402756-2-7,CHEMBL3402758-10,0.78,1.199,0.456,0.9982,0,cmet,OpenFF 2.0
CHEMBL3402759-5-7,CHEMBL3402757-6-5,0.08,0.886,3.118,1.0791,0,cmet,OpenFF 2.0
CHEMBL3402757-6-5,CHEMBL3402758-10,0.26,0.788,3.118,2.0718,0,cmet,OpenFF 2.0
CHEMBL3402760-1,CHEMBL3402757-6-5,1.11,1.91,0.0,1.57,0,cmet,OpenFF 2.0
CHEMBL3402759-5-7,CHEMBL3402758-10,0.34,1.674,3.118,4.8877,6,cmet,OpenFF 2.0
CHEMBL3402762-1,CHEMBL3402760-1,0.0,-0.34,0.0,1.4558,0,cmet,OpenFF 2.0
CHEMBL3402743-42,CHEMBL3402764-90,0.45,-3.29,1.195,8.5543,6,cmet,OpenFF 2.0
CHEMBL3402765-11-charged-pKa-8-1,CHEMBL3402743-42,0.8,3.68,1.195,4.7573,4,cmet,OpenFF 2.0
CHEMBL3402743-42,CHEMBL3402742-23,-0.36,-1.15,0.0,3.0925,0,cmet,OpenFF 2.0
CHEMBL3402765-11-charged-pKa-8-1,CHEMBL3402764-90,1.25,0.39,1.195,2.2775,4,cmet,OpenFF 2.0
CHEMBL3402763-90,CHEMBL3402742-23,-0.81,1.613,0.335,7.1363,11,cmet,OpenFF 2.0
CHEMBL3402741-400,CHEMBL3402742-23,-1.69,1.807,0.335,3.543,9,cmet,OpenFF 2.0
CHEMBL3402741-400,CHEMBL3402763-90,-0.88,0.193,0.335,1.8831,0,cmet,OpenFF 2.0
CHEMBL1078691,CHEMBL1089056,0.75,1.435,0.566,1.4043,0,eg5,OpenFF 2.0
CHEMBL1089056,CHEMBL1084115,0.0,0.618,0.185,0.8191,0,eg5,OpenFF 2.0
CHEMBL1089056,CHEMBL1088740,0.74,2.31,1.074,1.8019,0,eg5,OpenFF 2.0
CHEMBL1089056,CHEMBL1078998,-0.93,-0.131,0.081,0.808,0,eg5,OpenFF 2.0
CHEMBL1093088,CHEMBL1089056,1.78,0.347,4.29,2.0708,1,eg5,OpenFF 2.0
CHEMBL1078774,CHEMBL1089056,1.16,0.812,0.566,1.5797,0,eg5,OpenFF 2.0
CHEMBL1089056,CHEMBL1089393,1.06,0.87,1.074,1.9829,0,eg5,OpenFF 2.0
CHEMBL1085895,CHEMBL1089056,1.42,4.733,4.29,3.3378,15,eg5,OpenFF 2.0
CHEMBL1078774,CHEMBL1078691,0.41,-0.622,0.566,1.8299,0,eg5,OpenFF 2.0
CHEMBL1078691,CHEMBL1084115,0.75,2.053,0.185,1.246,0,eg5,OpenFF 2.0
CHEMBL1084115,CHEMBL1078998,-0.93,-0.749,0.081,1.0721,0,eg5,OpenFF 2.0
CHEMBL1088740,CHEMBL1089393,0.32,-1.44,1.074,0.9246,0,eg5,OpenFF 2.0
CHEMBL1085895,CHEMBL1093088,-0.36,4.387,4.29,2.6742,3,eg5,OpenFF 2.0
CHEMBL1083517,CHEMBL1086409,1.59,2.545,0.941,1.916,0,eg5,OpenFF 2.0
CHEMBL1083517,CHEMBL1086410,0.0,1.675,0.941,1.172,0,eg5,OpenFF 2.0
CHEMBL1086409,CHEMBL1086410,-1.59,-0.87,0.941,1.1456,0,eg5,OpenFF 2.0
CHEMBL1086409,CHEMBL1077227,-1.45,-0.435,0.306,1.3565,0,eg5,OpenFF 2.0
CHEMBL1086410,CHEMBL1083836,0.6,-0.603,0.219,1.2832,0,eg5,OpenFF 2.0
CHEMBL1086410,CHEMBL1077227,0.14,0.435,0.306,0.9795,0,eg5,OpenFF 2.0
CHEMBL1086410,CHEMBL1085666,0.96,0.085,0.624,0.8969,0,eg5,OpenFF 2.0
CHEMBL1084935,CHEMBL1086410,-0.93,0.483,0.624,1.9771,0,eg5,OpenFF 2.0
CHEMBL1086410,CHEMBL1082248,-0.17,-1.356,0.894,2.2241,0,eg5,OpenFF 2.0
CHEMBL1084677,CHEMBL1086410,0.0,1.873,0.894,4.459,3,eg5,OpenFF 2.0
CHEMBL1083836,CHEMBL1082248,-0.77,-0.753,0.219,1.4988,0,eg5,OpenFF 2.0
CHEMBL1093087,CHEMBL1085666,0.03,0.603,0.525,2.0793,0,eg5,OpenFF 2.0
CHEMBL1084935,CHEMBL1085666,0.03,0.567,0.624,3.062,3,eg5,OpenFF 2.0
CHEMBL1084678,CHEMBL1085666,0.63,2.778,0.525,3.703,0,eg5,OpenFF 2.0
CHEMBL1084677,CHEMBL1085666,0.96,1.958,0.196,6.6095,11,eg5,OpenFF 2.0
CHEMBL1084431,CHEMBL1093087,-0.73,3.088,2.852,4.0754,4,eg5,OpenFF 2.0
CHEMBL1093087,CHEMBL1084678,-0.6,-2.175,2.852,4.5145,3,eg5,OpenFF 2.0
CHEMBL1084431,CHEMBL1084678,-1.33,0.912,2.852,5.2438,12,eg5,OpenFF 2.0
CHEMBL1084678,CHEMBL1084677,-0.33,0.82,0.046,2.6315,0,eg5,OpenFF 2.0
CHEMBL1077204,CHEMBL1084677,-0.41,-1.613,0.479,1.8754,1,eg5,OpenFF 2.0
CHEMBL1084143,CHEMBL1084677,0.41,-0.059,0.894,1.4577,0,eg5,OpenFF 2.0
CHEMBL1084676,CHEMBL1084677,-0.75,-1.967,0.479,2.8913,0,eg5,OpenFF 2.0
CHEMBL1077204,CHEMBL1084676,0.34,0.353,0.479,1.1236,0,eg5,OpenFF 2.0
CHEMBL1082249,CHEMBL1082248,-0.41,4.285,1.218,3.7959,0,eg5,OpenFF 2.0
CHEMBL1096002,CHEMBL1082248,-0.5,0.862,1.218,1.042,0,eg5,OpenFF 2.0
CHEMBL1085692,CHEMBL1082248,-0.31,0.292,0.958,4.28,9,eg5,OpenFF 2.0
CHEMBL1085692,CHEMBL1082249,0.1,-3.993,0.958,3.944,0,eg5,OpenFF 2.0
CHEMBL1082249,CHEMBL1096002,0.09,3.422,1.218,2.7104,0,eg5,OpenFF 2.0
CHEMBL1085692,CHEMBL1096003,-0.55,-0.569,0.894,2.6541,0,eg5,OpenFF 2.0
CHEMBL1084143,CHEMBL1096003,0.0,-0.401,0.894,1.9182,0,eg5,OpenFF 2.0
215,206,0.48,2.377,0.901,0.9296,0,hif2a,OpenFF 2.0
215,252,0.89,0.034,0.901,1.1638,0,hif2a,OpenFF 2.0
215,167,-0.07,0.009,0.116,0.8281,0,hif2a,OpenFF 2.0
206,163,-0.89,-1.24,0.803,1.322,0,hif2a,OpenFF 2.0
206,252,0.41,-2.343,0.901,1.619,0,hif2a,OpenFF 2.0
163,252,1.3,-1.102,0.803,1.3892,0,hif2a,OpenFF 2.0
163,234,0.66,0.381,0.116,0.9257,0,hif2a,OpenFF 2.0
254,163,-1.46,-1.561,0.144,1.6867,1,hif2a,OpenFF 2.0
163,165,1.77,0.404,0.304,0.8588,0,hif2a,OpenFF 2.0
163,164,4.25,2.832,1.178,1.17,3,hif2a,OpenFF 2.0
15,163,0.04,3.103,0.242,0.9615,0,hif2a,OpenFF 2.0
237,163,-1.46,-0.151,0.024,1.1236,0,hif2a,OpenFF 2.0
163,231,0.99,-0.514,1.178,0.679,0,hif2a,OpenFF 2.0
252,256,-0.96,1.291,0.995,1.2365,0,hif2a,OpenFF 2.0
237,252,-0.16,-2.223,0.08,2.0715,0,hif2a,OpenFF 2.0
15,252,1.34,2.0,0.242,1.8001,0,hif2a,OpenFF 2.0
338,252,1.05,0.713,0.006,1.0151,0,hif2a,OpenFF 2.0
252,67,-0.46,-2.885,0.45,1.4734,1,hif2a,OpenFF 2.0
252,164,2.95,3.935,0.814,1.056,0,hif2a,OpenFF 2.0
290,252,0.86,4.48,0.261,1.1453,0,hif2a,OpenFF 2.0
252,336,-0.11,-0.465,0.814,0.7368,0,hif2a,OpenFF 2.0
254,252,-0.16,-2.663,0.995,1.9981,0,hif2a,OpenFF 2.0
167,234,0.32,1.509,0.116,0.8184,0,hif2a,OpenFF 2.0
254,251,-0.69,-1.986,0.995,1.4536,0,hif2a,OpenFF 2.0
251,256,-0.43,0.614,0.995,1.9962,0,hif2a,OpenFF 2.0
256,67,0.5,-4.175,0.45,0.9202,0,hif2a,OpenFF 2.0
290,165,1.33,5.986,0.304,1.5911,0,hif2a,OpenFF 2.0
290,164,3.81,8.415,0.035,1.2253,0,hif2a,OpenFF 2.0
164,231,-3.26,-3.346,1.178,1.0645,1,hif2a,OpenFF 2.0
237,164,2.79,2.682,0.241,1.4174,0,hif2a,OpenFF 2.0
237,155,-0.95,-2.219,0.241,1.45,0,hif2a,OpenFF 2.0
237,25,-0.73,-3.697,0.08,1.8879,0,hif2a,OpenFF 2.0
237,235,-0.57,-3.592,0.192,1.2108,0,hif2a,OpenFF 2.0
15,25,0.77,0.527,0.08,0.9124,0,hif2a,OpenFF 2.0
290,235,0.45,2.142,0.192,0.9266,0,hif2a,OpenFF 2.0
290,227,-0.19,0.791,0.304,0.9092,0,hif2a,OpenFF 2.0
290,57,-0.1,1.645,0.192,0.9601,0,hif2a,OpenFF 2.0
155,156,0.76,-0.847,0.82,0.8202,0,hif2a,OpenFF 2.0
57,155,0.17,1.869,0.241,0.805,0,hif2a,OpenFF 2.0
155,1,-0.82,0.193,0.82,0.736,0,hif2a,OpenFF 2.0
155,30,-0.07,0.556,0.421,1.6164,0,hif2a,OpenFF 2.0
155,23,3.43,2.601,0.306,0.6044,0,hif2a,OpenFF 2.0
155,61,0.39,2.286,0.127,1.2816,0,hif2a,OpenFF 2.0
155,42,1.56,1.091,0.421,0.8819,0,hif2a,OpenFF 2.0
156,1,-1.58,1.04,0.82,0.6103,7,hif2a,OpenFF 2.0
156,31,0.9,2.193,0.019,0.9841,4,hif2a,OpenFF 2.0
227,57,0.09,0.854,0.241,0.3421,0,hif2a,OpenFF 2.0
1,61,1.21,2.094,0.127,0.8896,0,hif2a,OpenFF 2.0
7b,1,-3.93,-6.375,0.32,1.3601,0,hif2a,OpenFF 2.0
7a,1,-1.32,-1.81,0.005,0.7918,0,hif2a,OpenFF 2.0
23,1,-4.25,-2.409,0.306,0.6378,0,hif2a,OpenFF 2.0
1,84,3.74,3.565,0.32,1.9235,0,hif2a,OpenFF 2.0
227,231,0.74,4.278,0.304,1.332,0,hif2a,OpenFF 2.0
289,231,0.89,0.642,0.814,0.6464,0,hif2a,OpenFF 2.0
289,336,1.09,-0.412,0.814,0.8422,0,hif2a,OpenFF 2.0
338,336,0.94,0.247,0.006,0.7043,0,hif2a,OpenFF 2.0
7b,41,-2.4,-4.775,0.32,1.5008,0,hif2a,OpenFF 2.0
7a,41,0.21,-0.21,0.005,0.8601,0,hif2a,OpenFF 2.0
235,224,0.46,5.967,0.525,1.0536,0,hif2a,OpenFF 2.0
266,235,0.41,0.837,0.525,0.9818,0,hif2a,OpenFF 2.0
266,224,0.87,6.803,0.525,1.7159,1,hif2a,OpenFF 2.0
30,42,1.63,0.536,0.421,1.1729,0,hif2a,OpenFF 2.0
42,43,0.24,-0.843,0.019,0.9266,0,hif2a,OpenFF 2.0
42,41,-0.85,0.702,0.462,0.7918,0,hif2a,OpenFF 2.0
42,35,1.79,-1.792,0.462,0.7324,0,hif2a,OpenFF 2.0
43,31,-0.14,1.097,0.019,0.8881,0,hif2a,OpenFF 2.0
35,41,-2.64,2.494,0.462,0.642,0,hif2a,OpenFF 2.0
41,54,0.48,0.261,0.289,1.2406,2,hif2a,OpenFF 2.0
124,41,0.33,1.454,0.289,1.2035,0,hif2a,OpenFF 2.0
84,41,-2.21,-1.965,0.32,1.4287,0,hif2a,OpenFF 2.0
35,50,-2.55,5.648,0.092,0.7111,1,hif2a,OpenFF 2.0
35,54,-2.16,2.756,0.115,1.929,0,hif2a,OpenFF 2.0
54,50,-0.39,2.892,0.092,1.0155,0,hif2a,OpenFF 2.0
124,54,0.81,1.716,0.289,1.5216,0,hif2a,OpenFF 2.0
53,52,-3.4,-2.733,0.751,1.4876,1,pfkfb3,OpenFF 2.0
53,35,-3.14,-4.867,0.751,1.1887,0,pfkfb3,OpenFF 2.0
52,35,0.26,-2.133,0.751,0.9901,0,pfkfb3,OpenFF 2.0
35,29,0.49,3.232,0.095,1.4544,0,pfkfb3,OpenFF 2.0
54,35,-1.96,-3.12,0.329,1.3416,0,pfkfb3,OpenFF 2.0
56,35,0.43,0.19,0.537,1.0683,0,pfkfb3,OpenFF 2.0
35,33,1.53,1.379,0.641,0.6859,0,pfkfb3,OpenFF 2.0
35,34,0.17,0.398,1.697,1.2602,0,pfkfb3,OpenFF 2.0
35,62,2.45,0.855,0.11,1.3285,3,pfkfb3,OpenFF 2.0
36,35,-2.7,-3.006,0.017,1.1807,0,pfkfb3,OpenFF 2.0
57,35,0.33,0.5,0.329,0.8645,1,pfkfb3,OpenFF 2.0
55,35,0.5,1.71,0.537,0.7767,0,pfkfb3,OpenFF 2.0
37,35,-0.14,4.306,1.697,4.9784,13,pfkfb3,OpenFF 2.0
35,31,0.86,0.421,0.641,1.8222,0,pfkfb3,OpenFF 2.0
35,63,1.58,0.845,0.11,0.7503,0,pfkfb3,OpenFF 2.0
29,26,0.48,0.808,0.095,0.9381,0,pfkfb3,OpenFF 2.0
36,29,-2.21,0.226,0.017,2.0545,0,pfkfb3,OpenFF 2.0
54,57,-2.29,-3.62,0.329,0.8701,0,pfkfb3,OpenFF 2.0
56,55,-0.07,-1.52,0.537,0.7642,0,pfkfb3,OpenFF 2.0
33,24,-0.26,3.466,0.814,1.3825,0,pfkfb3,OpenFF 2.0
33,31,-0.67,-0.957,0.814,0.814,0,pfkfb3,OpenFF 2.0
24,19,1.32,0.842,0.814,1.0661,0,pfkfb3,OpenFF 2.0
24,30,-0.33,1.383,0.21,4.4341,5,pfkfb3,OpenFF 2.0
31,30,0.08,5.807,0.21,2.37,0,pfkfb3,OpenFF 2.0
31,23,1.37,2.168,0.814,0.8344,0,pfkfb3,OpenFF 2.0
34,26,0.8,3.642,0.095,1.1136,0,pfkfb3,OpenFF 2.0
37,34,0.03,4.704,1.697,3.5181,9,pfkfb3,OpenFF 2.0
19,23,-0.36,-3.098,0.814,1.3741,0,pfkfb3,OpenFF 2.0
63,62,0.87,0.01,0.783,0.8365,1,pfkfb3,OpenFF 2.0
62,49,-0.24,2.583,0.479,0.6438,5,pfkfb3,OpenFF 2.0
59,62,0.43,-2.568,0.56,1.7432,0,pfkfb3,OpenFF 2.0
70,62,2.61,1.665,0.783,0.8521,0,pfkfb3,OpenFF 2.0
62,44,-2.26,0.987,0.479,0.5263,7,pfkfb3,OpenFF 2.0
62,58,-1.44,-0.208,0.56,0.313,3,pfkfb3,OpenFF 2.0
65,63,0.93,0.584,1.091,0.7235,1,pfkfb3,OpenFF 2.0
64,63,0.86,0.662,1.091,0.5189,3,pfkfb3,OpenFF 2.0
65,64,0.07,-0.078,1.091,0.6435,5,pfkfb3,OpenFF 2.0
67,65,0.75,2.413,0.387,0.6657,0,pfkfb3,OpenFF 2.0
69,65,1.22,0.965,0.783,0.4965,5,pfkfb3,OpenFF 2.0
68,65,0.29,2.867,0.387,0.8301,2,pfkfb3,OpenFF 2.0
67,68,0.46,-0.453,0.387,0.9364,1,pfkfb3,OpenFF 2.0
69,70,0.41,-0.105,0.783,0.522,0,pfkfb3,OpenFF 2.0
49,44,-2.02,-1.596,1.103,0.8721,0,pfkfb3,OpenFF 2.0
48,49,0.08,-0.013,0.188,1.1238,1,pfkfb3,OpenFF 2.0
47,49,0.4,-2.312,0.242,1.0418,0,pfkfb3,OpenFF 2.0
46,49,-0.07,-2.837,1.103,1.0689,0,pfkfb3,OpenFF 2.0
49,39,0.73,-0.892,0.2,0.9437,0,pfkfb3,OpenFF 2.0
44,43,1.95,-2.311,0.2,0.993,0,pfkfb3,OpenFF 2.0
47,44,-1.62,-3.908,0.242,1.0009,0,pfkfb3,OpenFF 2.0
46,44,-2.09,-4.433,1.103,0.7547,0,pfkfb3,OpenFF 2.0
48,20,-0.51,-3.297,0.188,0.7603,3,pfkfb3,OpenFF 2.0
41,20,-1.13,0.237,0.188,1.3985,0,pfkfb3,OpenFF 2.0
43,39,0.8,3.016,0.225,0.8936,1,pfkfb3,OpenFF 2.0
42,43,0.47,-3.033,0.225,1.2391,0,pfkfb3,OpenFF 2.0
38,43,0.76,-1.443,0.167,1.5639,0,pfkfb3,OpenFF 2.0
41,43,-0.61,-0.387,0.188,0.986,1,pfkfb3,OpenFF 2.0
42,39,1.27,-0.017,0.225,1.4155,0,pfkfb3,OpenFF 2.0
38,39,1.56,1.573,0.167,1.2015,0,pfkfb3,OpenFF 2.0
59,58,-1.01,-2.775,0.56,0.841,0,pfkfb3,OpenFF 2.0
60,59,0.02,1.177,0.26,1.8021,3,pfkfb3,OpenFF 2.0
60,58,-0.99,-1.598,0.26,2.2333,1,pfkfb3,OpenFF 2.0
Example-9,Example-14,-0.99,-0.663,0.6,1.6352,2,shp2,OpenFF 2.0
Example-8,Example-9,0.92,-1.813,0.6,1.4289,4,shp2,OpenFF 2.0
Example-8,Example-14,-0.07,-2.476,0.6,1.4644,8,shp2,OpenFF 2.0
Example-27,Example-14,-1.26,-7.888,0.523,2.1953,0,shp2,OpenFF 2.0
SHP099-1-Example-7,Example-14,-0.03,-5.643,0.523,1.9155,0,shp2,OpenFF 2.0
Example-8,SHP099-1-Example-7,-0.04,3.167,0.162,2.137,2,shp2,OpenFF 2.0
Example-8,Example-28,1.25,0.932,0.04,2.2357,0,shp2,OpenFF 2.0
11,SHP099-1-Example-7,-3.4,-7.937,1.097,2.1444,5,shp2,OpenFF 2.0
SHP099-1-Example-7,Example-30,0.59,-1.063,0.658,1.2802,2,shp2,OpenFF 2.0
SHP099-1-Example-7,10,2.6,2.063,1.097,1.1662,0,shp2,OpenFF 2.0
Example-28,SHP099-1-Example-7,-1.29,2.235,0.277,2.2521,8,shp2,OpenFF 2.0
SHP099-1-Example-7,Example-29,2.13,-1.377,0.277,1.0847,4,shp2,OpenFF 2.0
SHP099-1-Example-7,Example-1,0.76,2.235,0.658,1.8186,0,shp2,OpenFF 2.0
11,10,-0.8,-5.873,1.097,1.6456,3,shp2,OpenFF 2.0
Example-30,Example-1,0.17,3.297,0.658,0.9759,1,shp2,OpenFF 2.0
Example-23,Example-30,-0.42,-2.619,0.67,1.8668,6,shp2,OpenFF 2.0
Example-24,Example-30,-0.08,-5.081,0.67,2.247,0,shp2,OpenFF 2.0
Example-1,Example-2,0.71,1.703,1.28,0.836,8,shp2,OpenFF 2.0
Example-6,Example-1,0.08,0.467,0.26,1.3277,6,shp2,OpenFF 2.0
Example-1,6,0.96,0.075,0.953,1.311,0,shp2,OpenFF 2.0
Example-1,Example-3,0.77,1.728,1.28,1.6162,7,shp2,OpenFF 2.0
Example-5,Example-1,-1.43,-2.117,0.248,2.6277,1,shp2,OpenFF 2.0
7,Example-1,-1.91,-1.307,0.953,2.5175,1,shp2,OpenFF 2.0
Example-6,Example-2,0.79,2.17,0.26,1.7623,0,shp2,OpenFF 2.0
Example-2,Example-4,0.08,0.072,1.28,1.7601,2,shp2,OpenFF 2.0
Example-5,Example-6,-1.51,-2.583,0.248,4.0238,5,shp2,OpenFF 2.0
Example-23,Example-24,-0.34,2.462,1.074,1.4451,6,shp2,OpenFF 2.0
Example-23,Example-22,-0.5,0.686,0.133,1.1207,2,shp2,OpenFF 2.0
Example-25,Example-23,0.13,-1.771,0.878,1.7528,4,shp2,OpenFF 2.0
Example-26,Example-23,0.22,-1.961,1.074,2.9488,2,shp2,OpenFF 2.0
Example-24,Example-22,-0.16,-1.776,0.133,2.3256,8,shp2,OpenFF 2.0
Example-25,Example-24,-0.21,0.691,0.878,1.4267,3,shp2,OpenFF 2.0
Example-26,Example-24,-0.12,0.501,1.074,3.2949,5,shp2,OpenFF 2.0
7,6,-0.95,-1.233,0.953,2.2542,6,shp2,OpenFF 2.0
SHP836-2,6,-1.32,-1.832,0.523,2.2871,0,shp2,OpenFF 2.0
Example-28,Example-29,0.84,0.857,0.277,1.728,10,shp2,OpenFF 2.0
Example-3,Example-4,0.02,0.048,1.28,0.9913,0,shp2,OpenFF 2.0
SHP836-2,3,1.25,-1.193,0.514,1.0325,0,shp2,OpenFF 2.0
SHP836-2,Example-27,-1.81,-1.898,0.523,1.6325,0,shp2,OpenFF 2.0
SHP836-2,4,0.89,-2.057,0.514,1.9544,0,shp2,OpenFF 2.0
4,3,0.36,0.863,0.514,0.8713,4,shp2,OpenFF 2.0
CHEMBL3265036,CHEMBL3265032,-0.64,-0.074,0.208,0.7286,1,syk,OpenFF 2.0
CHEMBL3265033,CHEMBL3265032,0.78,0.161,0.208,0.8382,4,syk,OpenFF 2.0
CHEMBL3265031,CHEMBL3265032,1.01,0.007,0.612,0.8877,0,syk,OpenFF 2.0
CHEMBL3265032,CHEMBL3265034,-0.43,1.112,0.035,1.442,9,syk,OpenFF 2.0
CHEMBL3265037,CHEMBL3265032,1.71,0.858,0.539,1.2453,3,syk,OpenFF 2.0
CHEMBL3265032,CHEMBL3265030,-0.41,0.131,0.612,1.5116,2,syk,OpenFF 2.0
CHEMBL3265033,CHEMBL3265036,1.42,0.235,0.208,0.7543,3,syk,OpenFF 2.0
CHEMBL3265036,CHEMBL3265034,-1.07,1.038,0.035,1.1521,3,syk,OpenFF 2.0
CHEMBL3265033,CHEMBL3265031,-0.23,0.154,0.029,0.9735,4,syk,OpenFF 2.0
CHEMBL3265031,CHEMBL3265030,0.6,0.137,0.612,1.2115,1,syk,OpenFF 2.0
CHEMBL3265030,CHEMBL3265035,0.39,-0.432,0.539,1.218,0,syk,OpenFF 2.0
CHEMBL3265037,CHEMBL3265017,1.28,1.142,0.539,1.1989,1,syk,OpenFF 2.0
CHEMBL3265017,CHEMBL3265021,0.6,-0.573,0.735,1.2074,6,syk,OpenFF 2.0
CHEMBL3265017,CHEMBL3265029,0.37,0.552,0.539,1.8746,1,syk,OpenFF 2.0
CHEMBL3265017,CHEMBL3265019,0.71,-0.885,0.622,0.9901,2,syk,OpenFF 2.0
CHEMBL3265022,CHEMBL3265017,-0.7,-2.162,0.735,0.9936,1,syk,OpenFF 2.0
CHEMBL3265017,CHEMBL3265020,0.48,-0.283,0.622,0.8645,6,syk,OpenFF 2.0
CHEMBL3265010,CHEMBL3265017,-1.35,2.692,0.41,2.2429,0,syk,OpenFF 2.0
CHEMBL3265021,CHEMBL3265020,-0.12,0.29,0.052,1.1951,4,syk,OpenFF 2.0
CHEMBL3265023,CHEMBL3265021,-0.41,-0.008,0.735,1.1098,4,syk,OpenFF 2.0
CHEMBL3265029,CHEMBL3265028,0.11,0.703,0.058,1.0308,6,syk,OpenFF 2.0
